consumidor_bucket	slot	consumidor	generacion	result	via	estado	razon	sucesor
catalogo_de_momentos	RES-0181	milpa/catalogo-momentos-v0_1.tsv:M06	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: AJUSTE sin RESULT de identidad (cotejo-documental-catalogo.md: NO-EQUIVALENTE / PARCIAL / sin instrumento)	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-02 (FIRMAS-17)
catalogo_de_momentos	RES-0182	milpa/catalogo-momentos-v0_1.tsv:M07	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: AJUSTE sin RESULT de identidad (cotejo-documental-catalogo.md: NO-EQUIVALENTE / PARCIAL / sin instrumento)	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-02 (FIRMAS-17)
catalogo_de_momentos	RES-0183	milpa/catalogo-momentos-v0_1.tsv:M08	GEN2	RESULT-ENVIPE-SEG-CON-P-DENUNCIA	i-CRUDO (escritor V4)	RELEVADA	cita B4 / columnas de relevo; CALC-ENVIPE-DENUNCIA-SEGURO-0001 REPRODUCE	—
catalogo_de_momentos	RES-0184	milpa/catalogo-momentos-v0_1.tsv:M09	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0185	milpa/catalogo-momentos-v0_1.tsv:M10	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0186	milpa/catalogo-momentos-v0_1.tsv:M11	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0187	milpa/catalogo-momentos-v0_1.tsv:M12	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0188	milpa/catalogo-momentos-v0_1.tsv:M13	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0189	milpa/catalogo-momentos-v0_1.tsv:M14	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0190	milpa/catalogo-momentos-v0_1.tsv:M15	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0191	milpa/catalogo-momentos-v0_1.tsv:M16	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0192	milpa/catalogo-momentos-v0_1.tsv:M17	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0193	milpa/catalogo-momentos-v0_1.tsv:M18	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0194	milpa/catalogo-momentos-v0_1.tsv:M19	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0195	milpa/catalogo-momentos-v0_1.tsv:M20	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0196	milpa/catalogo-momentos-v0_1.tsv:M21	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0197	milpa/catalogo-momentos-v0_1.tsv:M22	LEGACY-GEN1		—	NC	DIFERIDO-A:instrumento -- HOLDOUT; valor_de() lanza y la dependencia demostrada (cotejo) no tiene fuente	SIN-ASIGNAR (cotejo-documental-catalogo.md fija el instrumento que falta)
catalogo_de_momentos	RES-0198	milpa/catalogo-momentos-v0_1.tsv:M23	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: derivado sellado, champion NINGUNO y reserva consumida; adoptarlo exige reserva nueva	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-02 (FIRMAS-17)
procedencia	RES-0199	milpa/procedencia.yaml:condicionales_confianza_institucional/salud	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0200	milpa/procedencia.yaml:condicionales_confianza_institucional/educación	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0201	milpa/procedencia.yaml:condicionales_confianza_institucional/financiera	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0202	milpa/procedencia.yaml:condicionales_confianza_institucional/seguridad-FFAA	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0203	milpa/procedencia.yaml:condicionales_confianza_institucional/justicia-policía	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0204	milpa/procedencia.yaml:condicionales_confianza_institucional/electoral-partidos	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0205	milpa/procedencia.yaml:condicionales_escalares/radio_confianza	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0206	milpa/procedencia.yaml:condicionales_escalares/familismo_apoyo	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0207	milpa/procedencia.yaml:condicionales_escalares_confianza_generica/confianza_institucional_generico_servidores_publicos	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0208	milpa/procedencia.yaml:condicionales_escalares_exposicion_violencia/exposicion_violencia	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0209	milpa/procedencia.yaml:condicionales_escalares_medido_nacional/norma_de_género	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
procedencia	RES-0210	milpa/procedencia.yaml:condicionales_escalares_medido_nacional/obligación_medida	LEGACY-GEN1		—	NC	DIFERIDO-A:θ -- condicional θ es generador de retadores (ADR-531, §4); Theta.valor() no emite; sin CALC θ GEN2	GEN2-RELEVO-CONSUMIDORES-3
